id;address;new_address;match
216;RUE DE LA PROCESSION;RUE DE LA PROCESSION;True
217;RUE DES RAGUIDELLES;RUE DES RAGUIDELLES;True
218;RUE DES BONS RAISINS;RUE DES BONS RAISINS;True
219;RUE DESBASSAYNS DE RICHEMONT;RUE DESBASSAYNS DE RICHEMONT;True
220;CHEMIN DES ROSES;CHEMIN DES ROSES;True
221;RUE DU DOCTEUR EMILE ROUX;RUE DU DOCTEUR EMILE ROUX;True
222;IMPASSE SAINT MAURICE;;False
223;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
224;ALLEE DU BEAU SITE;;False
225;BD MARECHAL DE LATTRE DE TASS;;False
226;RUE DU TERTRE;RUE DU TERTRE;True
227;AV DE LA FONTAINE DU TERTRE;;False
228;RUE DES TOURNEROCHES;RUE DES TOURNEROCHES;True
229;RUE DE LA TUILERIE;RUE DE LA TUILERIE;True
230;IMPASSE DES VIGNERONS;IMPASSE DES VIGNERONS;True
231;RUE DES VIGNES;RUE DES VIGNES;True
232;RUE WORTH;RUE WORTH;True
233;ALLEE DES BERGERONNETTES;ALLEE DES BERGERONNETTES;True
234;RUE DES TERRES BLANCHES;RUE DES TERRES BLANCHES;True
235;RUE DU CALVAIRE;RUE DU CALVAIRE;True
236;RUE DES CARRIERES;RUE DES CARRIERES;True
237;RUE DE LA CERISAIE;RUE DE LA CERISAIE;True
238;RUE CLUSERET;RUE CLUSERET;True
239;AVENUE DE LA CRIOLLA;AVENUE DE LA CRIOLLA;True
240;RUE VICTOR DIEDERICH;RUE VICTOR DIEDERICH;True
241;RUE ARTHEME GENTEUR;RUE ARTHEME GENTEUR;True
242;IMP SOMMELIERS DE LA GROUE;;False
243;CHEMIN DES HOCQUETTES;CHEMIN DES HOCQUETTES;True
244;DOMAINE DES HOCQUETTES;DOMAINE DES HOCQUETTES;True
245;AVENUE DES LANDES;AVENUE DES LANDES;True
246;ALLEE DES LILAS;ALLEE DES LILAS;True
247;GARE SURESNES LONGCHAMP;;False
248;RUE DE LA GARE DE LONGCHAMP;;False
249;CHEMIN DE LA MOTTE;CHEMIN DE LA MOTTE;True
250;RUE DES NOUVELLES;RUE DES NOUVELLES;True
251;ALLEE DES OLIVIERS;ALLEE DES OLIVIERS;True
252;PASSAGE DU PANORAMA;;False
253;RUE DU PAS SAINT MAURICE;;False
254;ALLEE DE LA PEPINIERE;ALLEE DE LA PEPINIERE;True
255;RUE DU POINT HAUT;RUE DU POINT HAUT;True
256;RUE DE LA PROCESSION;RUE DE LA PROCESSION;True
257;RUE DES RAGUIDELLES;RUE DES RAGUIDELLES;True
258;RUE DES BONS RAISINS;RUE DES BONS RAISINS;True
259;RUE DESBASSAYNS DE RICHEMONT;RUE DESBASSAYNS DE RICHEMONT;True
260;CHEMIN DES ROSES;CHEMIN DES ROSES;True
261;RUE DU DOCTEUR EMILE ROUX;RUE DU DOCTEUR EMILE ROUX;True
262;IMPASSE SAINT MAURICE;;False
263;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
264;ALLEE DU BEAU SITE;;False
265;BD MARECHAL DE LATTRE DE TASS;;False
266;RUE DU TERTRE;RUE DU TERTRE;True
267;AV DE LA FONTAINE DU TERTRE;;False
268;RUE DES TOURNEROCHES;RUE DES TOURNEROCHES;True
269;RUE DE LA TUILERIE;RUE DE LA TUILERIE;True
270;IMPASSE DES VIGNERONS;IMPASSE DES VIGNERONS;True
271;RUE DES VIGNES;RUE DES VIGNES;True
272;RUE WORTH;RUE WORTH;True
273;RUE GEORGES APPAY;RUE GEORGES APPAY;True
274;RUE LOUIS BLERIOT;;False
275;QUAI LEON BLUM;QUAI LEON BLUM;True
276;RUE CHEVREUL;RUE CHEVREUL;True
277;RUE FREDERIC CLAVEL;RUE FREDERIC CLAVEL;True
278;QUAI MARCEL DASSAULT;QUAI MARCEL DASSAULT;True
279;RUE PIERRE DUPONT;RUE PIERRE DUPONT;True
280;AVENUE DU MARECHAL JUIN;AVENUE DU MARECHAL JUIN;True
281;ALLEE DE LONGCHAMP;ALLEE DE LONGCHAMP;True
282;RUE DU DOCTEUR MAGNAN;RUE DU DOCTEUR MAGNAN;True
283;RUE DES MEUNIERS;RUE DES MEUNIERS;True
284;RUE MARCEL MONGE;RUE MARCEL MONGE;True
285;RUE DU VAL D OR;;False
286;RUE PASTEUR;RUE PASTEUR;True
287;RUE DE LA REPUBLIQUE;RUE DE LA REPUBLIQUE;True
288;PLACE DE LA REPUBLIQUE;PLACE DE LA REPUBLIQUE;True
289;RUE JEAN JACQUES ROUSSEAU;;False
290;RUE DE SAINT CLOUD;;False
291;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
292;PLACE EUGENE SUE;;False
293;RUE DU CHEMIN VERT;RUE DU CHEMIN VERT;True
294;RUE GEORGES APPAY;RUE GEORGES APPAY;True
295;RUE LOUIS BLERIOT;;False
296;QUAI LEON BLUM;QUAI LEON BLUM;True
297;RUE CHEVREUL;RUE CHEVREUL;True
298;RUE FREDERIC CLAVEL;RUE FREDERIC CLAVEL;True
299;QUAI MARCEL DASSAULT;QUAI MARCEL DASSAULT;True
300;RUE PIERRE DUPONT;RUE PIERRE DUPONT;True
301;AVENUE DU MARECHAL JUIN;AVENUE DU MARECHAL JUIN;True
302;ALLEE DE LONGCHAMP;ALLEE DE LONGCHAMP;True
303;RUE DU DOCTEUR MAGNAN;RUE DU DOCTEUR MAGNAN;True
304;RUE DES MEUNIERS;RUE DES MEUNIERS;True
305;RUE MARCEL MONGE;RUE MARCEL MONGE;True
306;RUE DU VAL D OR;;False
307;RUE PASTEUR;RUE PASTEUR;True
308;RUE DE LA REPUBLIQUE;RUE DE LA REPUBLIQUE;True
309;PLACE DE LA REPUBLIQUE;PLACE DE LA REPUBLIQUE;True
310;RUE JEAN JACQUES ROUSSEAU;;False
311;RUE DE SAINT CLOUD;;False
312;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
313;PLACE EUGENE SUE;;False
314;RUE DU CHEMIN VERT;RUE DU CHEMIN VERT;True
315;RUE DU CHEVALIER DE LA BARRE;RUE DU CHEVALIER DE LA BARRE;True
316;RUE PAUL BERT;RUE PAUL BERT;True
317;ALLEE DES BOCHOUX;ALLEE DES BOCHOUX;True
318;RUE DES CHENES;RUE DES CHENES;True
319;RUE DANTON;RUE DANTON;True
320;ALLEE SANTOS DUMONT;ALLEE SANTOS DUMONT;True
321;RUE DU CAPITAINE FERBER;RUE DU CAPITAINE FERBER;True
322;ALLEE DES MOUETTES;ALLEE DES MOUETTES;True
323;RUE DU PR LOUIS RENE NOUGIER;;False
324;RUE DE LA PASSERELLE;RUE DE LA PASSERELLE;True
325;ALLEE DES PINSONS;ALLEE DES PINSONS;True
326;ALLEE DES PRIMEVERES;ALLEE DES PRIMEVERES;True
327;PLACE DU RATRAIT;PLACE DU RATRAIT;True
328;RUE DES BAS ROGERS;RUE DES BAS ROGERS;True
329;ALLEE DES ROSES;ALLEE DES ROSES;True
330;RUE ROGER SALENGRO;RUE ROGER SALENGRO;True
331;SQUARE DES TOURTERELLES;SQUARE DES TOURTERELLES;True
332;RUE VOLTAIRE;RUE VOLTAIRE;True
333;RUE DU CHEVALIER DE LA BARRE;RUE DU CHEVALIER DE LA BARRE;True
334;RUE PAUL BERT;RUE PAUL BERT;True
335;ALLEE DES BOCHOUX;ALLEE DES BOCHOUX;True
336;RUE DES CHENES;RUE DES CHENES;True
337;RUE DANTON;RUE DANTON;True
338;ALLEE SANTOS DUMONT;ALLEE SANTOS DUMONT;True
339;RUE DU CAPITAINE FERBER;RUE DU CAPITAINE FERBER;True
340;ALLEE DES MOUETTES;ALLEE DES MOUETTES;True
341;RUE DU PR LOUIS RENE NOUGIER;;False
342;RUE DE LA PASSERELLE;RUE DE LA PASSERELLE;True
343;ALLEE DES PINSONS;ALLEE DES PINSONS;True
344;ALLEE DES PRIMEVERES;ALLEE DES PRIMEVERES;True
345;PLACE DU RATRAIT;PLACE DU RATRAIT;True
346;RUE DES BAS ROGERS;RUE DES BAS ROGERS;True
347;ALLEE DES ROSES;ALLEE DES ROSES;True
348;RUE ROGER SALENGRO;RUE ROGER SALENGRO;True
349;SQUARE DES TOURTERELLES;SQUARE DES TOURTERELLES;True
350;RUE VOLTAIRE;RUE VOLTAIRE;True
351;RUE CARNOT;RUE CARNOT;True
352;ALLEE LOUIS CHEVROLET;ALLEE LOUIS CHEVROLET;True
