id;numero;nom_rue;nom_complet;secteur maternelle;secteur elementaire
2796;7;AVENUE DU MARECHAL JUIN;7 AVENUE DU MARECHAL JUIN;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
2797;34;RUE DU DOCTEUR EMILE ROUX;34 RUE DU DOCTEUR EMILE ROUX;Maternelle des Raguidelles;Elémentaire des Raguidelles
2798;42;RUE DU PAS SAINT-MAURICE;42 BIS RUE DU PAS SAINT-MAURICE;;Elémentaire Vaillant Jaurès
2799;3;RUE AMIRAL WILLAUMEZ;3 RUE AMIRAL WILLAUMEZ;Maternelle Simone Veil;
2800;153;BOULEVARD HENRI SELLIER;153 BIS BOULEVARD HENRI SELLIER;Maternelle des Raguidelles;Elémentaire des Raguidelles
2801;36;RUE DU CAPITAINE FERBER;36 RUE DU CAPITAINE FERBER;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
2802;3;RUE DES CHEVREMONTS;3 RUE DES CHEVREMONTS;Maternelle des Cottages;Elémentaire des Cottages
2803;86;RUE DE LA LIBERTE;86 RUE DE LA LIBERTE;Maternelle des Cottages;Elémentaire des Cottages
2804;9;RUE DES CHENES;9 RUE DES CHENES;Maternelle des Cottages;Elémentaire des Cottages
2805;13;RUE CLUSERET;13 RUE CLUSERET;Maternelle des Raguidelles;Elémentaire des Raguidelles
2806;91;BOULEVARD HENRI SELLIER;91 BOULEVARD HENRI SELLIER;Maternelle Marcel Mouloudji;Elémentaire Marcel Mouloudji
2807;41;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;41 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;Maternelle des Raguidelles;
2808;118;RUE LAKANAL;118 RUE LAKANAL;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
2809;102;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;102 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;Maternelle des Raguidelles;
2810;33;AVENUE FRANKLIN ROOSEVELT;33 AVENUE FRANKLIN ROOSEVELT;Maternelle des Cottages;Elémentaire des Cottages
